date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:49	18773/18773	---M-Z	200	added ('OK')	application/json	date:Mon,%2026%20Dec%202022%2014:41:48%20GMT	https://www.sotaimaging.com/wp-json/wp/v2/pages/2288/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-json/wp/v2/pages/2288/index.html	(from https://www.sotaimaging.com/demo/)
09:41:49	516406/516406	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253c7729f9a5c32a04b6d48dd118565af%22	https://js.hsforms.net/forms/v2.js	D:/WEBSITE/sota%20imaging%20complete/js.hsforms.net/forms/v2.js	(from https://www.sotaimaging.com/demo/)
09:41:50	3787/3787	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:07:17%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/SotaImagingSuiteLogo-300x157-1.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/SotaImagingSuiteLogo-300x157-1.png	(from https://www.sotaimaging.com/demo/)
09:41:50	526/526	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:09:39%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/CheckMark.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/CheckMark.png	(from https://www.sotaimaging.com/demo/)
09:41:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2014:41:49%20GMT	https://www.sotaimaging.com/?p=2288	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/index76e4.html	(from https://www.sotaimaging.com/demo/)
09:41:50	3326/3326	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jul%202021%2016:16:08%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/07/sota-cloud-thumb.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/07/sota-cloud-thumb.png	(from https://www.sotaimaging.com/demo/)
09:41:50	11610/11610	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:08:29%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/ClioPrime.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/ClioPrime.png	(from https://www.sotaimaging.com/demo/)
09:41:51	29044/29044	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:08:52%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/Clio.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/Clio.png	(from https://www.sotaimaging.com/demo/)
09:41:51	13293/13293	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:09:17%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/Claris.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/Claris.png	(from https://www.sotaimaging.com/demo/)
09:41:51	17313/17313	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:08:06%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/SotaImage.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/SotaImage.png	(from https://www.sotaimaging.com/demo/)
09:41:52	46541/46541	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:07:25%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/Customers.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/Customers.png	(from https://www.sotaimaging.com/demo/)
09:41:53	13777/13777	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Oct%202021%2016:46:17%20GMT	https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/et-cache/2386/et-divi-dynamic-tb-1466-tb-2846-2386.css?ver=1633452377	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/cache/min/1/wp-content/et-cache/2386/et-divi-dynamic-tb-1466-tb-2846-23868b72.css	(from https://www.sotaimaging.com/claris-i5hd-intraoral-camera/)
